case,rank,measured_frequency_hz,measured_period_sec,singular_value,closest_etabs_mode,closest_etabs_frequency_hz,closest_etabs_period_sec,frequency_error_hz,period_error_sec
2023_6sync_L21_L25,1,0.27618408203125,3.6207734806629834,0.00013488201561257792,M4 UX 2.71s,0.36900369003690037,2.71,0.09281960800565037,0.9107734806629835
2023_6sync_L21_L25,2,0.286102294921875,3.4952533333333333,9.985595785896688e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.08290139511502537,0.7852533333333334
2023_6sync_L21_L25,3,0.279998779296875,3.571444141689373,9.169542815605089e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.08900491074002537,0.8614441416893732
2023_6sync_L21_L25,4,0.267791748046875,3.734245014245014,7.011230748133271e-05,M3 UY 5.49s,0.18214936247723132,5.49,0.08564238556964368,1.7557549857549861
2023_6sync_L21_L25,5,0.29449462890625,3.3956476683937824,5.1003916972482015e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.07450906113065037,0.6856476683937824
2023_3sync_L25,1,0.27618408203125,3.6207734806629834,9.308161896044152e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.09281960800565037,0.9107734806629835
2023_3sync_L25,2,0.286102294921875,3.4952533333333333,6.83165076742206e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.08290139511502537,0.7852533333333334
2023_3sync_L25,3,0.28076171875,3.5617391304347827,6.791582529733086e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.08824197128690037,0.8517391304347828
2023_3sync_L25,4,0.267791748046875,3.734245014245014,5.2312954946717835e-05,M3 UY 5.49s,0.18214936247723132,5.49,0.08564238556964368,1.7557549857549861
2023_3sync_L25,5,0.29449462890625,3.3956476683937824,3.97691903872494e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.07450906113065037,0.6856476683937824
2025_6sync_L21_L25,1,0.3326416015625,3.0062385321100917,1.9760568649743193e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.03636208847440037,0.29623853211009177
2025_6sync_L21_L25,2,0.31585693359375,3.165990338164251,1.9262148080436083e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.05314675644315037,0.45599033816425116
2025_6sync_L21_L25,3,0.3204345703125,3.120761904761905,1.872238593000554e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.04856911972440037,0.4107619047619049
2025_6sync_L21_L25,4,0.327301025390625,3.0552913752913753,1.732690584558368e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.04170266464627537,0.3452913752913753
2025_6sync_L21_L25,5,0.311279296875,3.212549019607843,1.3811100779628002e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.05772439316190037,0.502549019607843
2025_3sync_L25,1,0.3326416015625,3.0062385321100917,1.515680912901393e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.03636208847440037,0.29623853211009177
2025_3sync_L25,2,0.31585693359375,3.165990338164251,1.3848760611317916e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.05314675644315037,0.45599033816425116
2025_3sync_L25,3,0.3204345703125,3.120761904761905,1.3227045088936581e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.04856911972440037,0.4107619047619049
2025_3sync_L25,4,0.327301025390625,3.0552913752913753,1.2501111251496018e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.04170266464627537,0.3452913752913753
2025_3sync_L25,5,0.311279296875,3.212549019607843,1.0327035384096394e-05,M4 UX 2.71s,0.36900369003690037,2.71,0.05772439316190037,0.502549019607843
