,timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
1,12/27/2025 0:00,27.12.2025,31S4S,30min,118,10,0.14,2.40789254,2.384203,6.311963,1.137516817,5.28315612,1.70440822,1.687639762,4.467874478,0.805182533,3.739641438,5.38630221,11.81808366,14.11945911,3.812652605,8.365339653,9.994350568,135780
2,12/27/2025 0:30,27.12.2025,31S4S,30min,118,10,0.14,2.490974526,2.548624,5.575175,0.972587186,4.395793667,1.763217165,1.804023903,3.946344757,0.688438362,3.111528749,5.572151319,9.833110385,12.47131129,3.944204468,6.960291581,8.827721809,180000
3,12/27/2025 1:00,27.12.2025,31S4S,30min,118,10,0.14,2.746897409,2.7693135,5.49086,0.929764773,5.373016437,1.94437021,1.960237268,3.886663033,0.658126845,3.803248373,6.144634504,12.01909546,12.28270401,4.349432289,8.507624312,8.694217593,180000
4,12/27/2025 1:30,27.12.2025,31S4S,30min,118,10,0.14,2.042180691,1.961534,4.678529,0.924495168,4.441113637,1.4455419,1.38845676,3.31166078,0.654396796,3.143608141,4.568228103,9.934488271,10.46557131,3.233585138,7.032051138,7.407974186,180000
5,12/27/2025 2:00,27.12.2025,31S4S,30min,118,10,0.14,1.083649438,1.075976,2.848835,0.514360134,2.45072503,0.767052923,0.761621339,2.016525951,0.364085866,1.734726869,2.424054755,5.482115761,6.372662402,1.71584852,3.880473491,4.510840083,180000
6,12/27/2025 2:30,27.12.2025,31S4S,30min,118,10,0.14,1.461425627,1.479314,3.784793,0.675095154,3.51715528,1.034458894,1.047121041,2.679036624,0.477860914,2.489591322,3.269116023,7.867652291,8.46634082,2.314018642,5.569057181,5.992834253,180000
7,12/27/2025 3:00,27.12.2025,31S4S,30min,118,10,0.14,1.284069803,1.2643635,3.129094,0.570595665,2.836629883,0.908918937,0.894969982,2.214905129,0.403891755,2.007886653,2.872382343,6.345360333,6.99958393,2.033193756,4.491514524,4.954601666,180000
8,12/27/2025 3:30,27.12.2025,31S4S,30min,118,10,0.14,0.832534893,0.803802,2.510722,0.470373142,2.289940857,0.589303423,0.568965065,1.777195263,0.332950012,1.620917028,1.862327516,5.122451809,5.616325161,1.318234213,3.625888127,3.975472582,180000
9,12/27/2025 4:00,27.12.2025,31S4S,30min,118,10,0.14,0.86683356,0.82049995,2.721204,0.467228868,2.292100537,0.613581471,0.580784581,1.926183329,0.330724362,1.622445741,1.93905145,5.127282876,6.087159986,1.37254266,3.629307761,4.308749393,180000
10,12/27/2025 4:30,27.12.2025,31S4S,30min,118,10,0.14,0.682211599,0.6703109,1.942305,0.332111903,1.544252953,0.482898235,0.474474417,1.37484566,0.235082857,1.09308758,1.526063885,3.454395475,4.344812545,1.080212588,2.445167277,3.075442153,180000
